                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1825,                 1.1062,                 1.1713,                0.81796,                0.86424,                0.88155,                0.63279,                 1.0228,                0.65735,                 1.0997,             0.00026047,             0.00026047,             0.00026047
                     35,                 1.1781,                 1.1054,                 1.1655,                0.81277,                0.86303,                0.88676,                 0.6196,                 1.0681,                0.66566,                 1.1168,             0.00025827,             0.00025827,             0.00025827
                     36,                  1.171,                 1.0843,                  1.157,                0.79091,                0.87825,                0.87862,                 0.6176,                  1.059,                0.67446,                 1.1037,             0.00025608,             0.00025608,             0.00025608
                     37,                 1.1673,                 1.0768,                 1.1555,                0.83905,                0.84944,                0.88785,                0.64106,                 1.0128,                0.65644,                 1.0973,             0.00025388,             0.00025388,             0.00025388
                     38,                 1.1597,                 1.0619,                 1.1547,                0.82865,                 0.8505,                0.87855,                0.63252,                 1.0126,                0.64863,                 1.0894,             0.00025168,             0.00025168,             0.00025168
                     39,                 1.1591,                 1.0656,                  1.149,                0.82506,                 0.8665,                0.89255,                0.65302,                0.99427,                0.63226,                 1.0808,             0.00024948,             0.00024948,             0.00024948
                     40,                 1.1599,                  1.055,                  1.152,                0.83225,                0.86958,                0.89668,                0.64908,                0.99625,                0.62809,                 1.0828,             0.00024729,             0.00024729,             0.00024729
                     41,                 1.1467,                 1.0479,                 1.1454,                0.83383,                 0.8552,                0.90002,                0.65251,                   0.99,                0.62219,                 1.0726,             0.00024509,             0.00024509,             0.00024509
                     42,                 1.1419,                 1.0432,                 1.1386,                0.85339,                0.85846,                0.89948,                0.65306,                0.99127,                0.61897,                 1.0715,             0.00024289,             0.00024289,             0.00024289
                     43,                 1.1353,                 1.0344,                 1.1374,                0.83827,                0.86959,                 0.9007,                0.66288,                0.98108,                 0.6107,                 1.0656,             0.00024069,             0.00024069,             0.00024069
                     44,                 1.1306,                 1.0246,                 1.1362,                0.83674,                  0.871,                0.89681,                0.64613,                 0.9871,                0.61543,                 1.0684,             0.00023849,             0.00023849,             0.00023849
                     45,                 1.1306,                 1.0089,                 1.1383,                0.86331,                0.84973,                0.90283,                0.65694,                0.98255,                0.61254,                 1.0673,              0.0002363,              0.0002363,              0.0002363
                     46,                 1.1328,                  1.019,                 1.1318,                0.82471,                0.86778,                0.89616,                0.65706,                0.97253,                 0.6039,                 1.0593,              0.0002341,              0.0002341,              0.0002341
                     47,                 1.1239,                 1.0067,                 1.1312,                0.81009,                 0.8913,                0.89721,                0.64447,                 1.0234,                0.61482,                 1.0803,              0.0002319,              0.0002319,              0.0002319
                     48,                 1.1187,                0.99411,                 1.1261,                0.83375,                0.89085,                0.91012,                0.66372,                0.97123,                0.59383,                 1.0612,              0.0002297,              0.0002297,              0.0002297
                     49,                 1.1111,                0.98672,                 1.1216,                0.84694,                0.88865,                0.91571,                0.66109,                0.98786,                0.58743,                 1.0653,             0.00022751,             0.00022751,             0.00022751
                     50,                 1.1194,                0.99436,                 1.1259,                   0.83,                0.89294,                0.91278,                 0.6663,                0.97287,                0.58084,                  1.058,             0.00022531,             0.00022531,             0.00022531
